Transaction_ID,Date,Region,Product,Salesperson,Units_Sold,Unit_Price,Total_Sales
fd516dce-ee73-4f47-94b4-46dd78c74495,2023-09-25,North,Product A,David Shelton,39,351.51,13708.89
ca6dd345-f545-4214-b38f-126af3cf4443,2024-10-24,North,Product B,Craig Howard,29,498.66,14461.14
ee7c4053-62a5-491d-857b-cbe483935163,2024-10-18,East,Product A,Paul Martinez,15,449.34,6740.1
58eb3cda-266a-4f9f-849b-14c39fc8c3aa,2023-10-15,South,Product A,Tracy Luna,43,292.24,12566.32
5c8f11ce-69ff-4329-b7cc-ae4fbb7d22b3,2023-06-03,South,Product C,Christine Sawyer,8,459.52,3676.16
d71caadd-4a3f-47d5-8980-cb0910a91727,2023-08-31,South,Product B,Hannah Lopez,21,12.6,264.6
e6ebe2bb-326e-4497-b9ce-f63bc0e44602,2024-10-31,North,Product B,Diana Cox,39,487.78,19023.42
73e2770a-0834-41f0-9c3b-a44fc61d5a73,2023-01-08,North,Product B,Aaron Cole,19,250.47,4758.93
e5aebf11-20f2-4d56-a1d9-59cbba9b45e9,2024-02-21,West,Product A,Briana Jackson,23,364.22,8377.06
065ef2a1-7df0-46a8-a5a9-eb3c7fbee257,2023-08-04,North,Product B,Michael Sanchez,11,412.22,4534.42
0edce3de-0e09-45fc-8638-65d06d4e03b6,2024-08-24,North,Product B,Amy Thomas,11,362.04,3982.44
b06624dc-5151-4f89-b93f-bcf0b80a4b54,2023-08-12,North,Product B,Alexander Riley,24,272.17,6532.08
166c6c45-8e3a-4507-8725-2f18c93e2efe,2023-01-17,South,Product C,Jade Young,36,243.54,8767.44
5ea1dcd2-c000-454f-9aef-8e8561d914ea,2023-06-13,South,Product B,Jade Young,40,420.91,16836.4
9db87afa-aa0f-44f7-92c1-cd27c5d92915,2024-10-10,North,Product A,Alexander Riley,24,110.49,2651.76
ab6e915b-8378-43ed-bb08-aa1e657f577c,2024-03-09,South,Product C,Carlos Williams,3,484.32,1452.96
1a87c6dc-3b11-426a-835a-d878248ead78,2024-09-02,West,Product B,Susan Garner,22,358.37,7884.14
f5e44326-15f9-4fa3-9fb7-eb4e3666bebe,2023-04-22,South,Product B,Tasha Farrell,2,107.76,215.52
05f2c2a9-ab56-4ba8-94ac-74ba5ed45b8d,2024-11-30,West,Product C,Christine Sawyer,24,370.76,8898.24
f4ef8695-0760-4c71-9baa-2b390419ebfe,2024-12-15,East,Product B,Ralph Downs,44,269.62,11863.28
a4fd3c27-ea16-468c-8d11-abcc322b1969,2024-11-01,North,Product A,Hailey Bradley,30,356.54,10696.2
4546c793-8926-4e62-ba11-b367522e4367,2024-02-13,South,Product A,Kyle Harrison,38,386.21,14675.98
47f98278-9575-4025-b598-e8bb967cbb72,2024-08-22,West,Product B,Kathleen Hall,2,52.77,105.54
83f93c22-1ff9-4e39-9211-417c6eb965e8,2023-04-02,East,Product A,Chelsea Hall,21,257.99,5417.79
ba77cef1-2b62-4fc3-8f63-ab37aee6462f,2023-08-28,East,Product C,Chad Mendoza,33,466.69,15400.77
cdf922d1-09cc-4ffb-9809-d9e26411542c,2023-05-10,South,Product B,Mark Shields,12,167.11,2005.32
c6269dca-32c9-47c6-a5d7-be668d1a1a37,2024-04-24,South,Product C,Chelsea Hall,22,301.0,6622.0
ebf1294b-321b-4eae-a84a-98d9e78931db,2023-07-05,East,Product A,Paul Martinez,44,190.92,8400.48
f0a55407-b918-441e-9bbb-395f79b14289,2024-10-17,North,Product B,Adam Thompson,25,232.59,5814.75
93386cae-873c-4acd-b6ff-5f193c39b631,2024-03-27,North,Product C,Dr. Jonathan Hall DVM,49,278.82,13662.18
737156d1-77f4-4598-9b23-6ad0f1f0b1d8,2024-04-27,West,Product A,Amy Thomas,27,278.97,7532.19
a14f03da-6eb5-4086-976c-1fcae083ed95,2023-08-23,North,Product B,Brandy Perry,42,108.85,4571.7
b0aacfe2-2eec-44fc-ad31-2d9a86b8bfea,2023-12-13,East,Product D,Tasha Farrell,28,345.44,9672.32
4b471672-bb55-4e18-8279-d9140889bc4b,2023-01-24,East,Product A,Alexander Garcia,16,53.06,848.96
3df5c145-483d-47ff-8b9d-289b99c3c470,2024-04-28,East,Product A,Carrie Davis,15,78.02,1170.3
2fa92006-5049-41a7-b3fb-152863599317,2024-12-20,North,Product D,Carrie Davis,47,11.33,532.51
79cff02e-0bf9-44e7-8ecd-a106fb4ea8a7,2024-12-18,West,Product D,Teresa Garza,44,67.18,2955.92
aeeb779f-71fe-4b75-a12b-a5e5c96b8a5d,2023-08-31,North,Product C,Robert Clarke,3,241.85,725.55
8d8fea31-d9ad-4d96-8cec-5e27f9391d65,2023-02-09,West,Product A,Dr. Jonathan Hall DVM,37,306.99,11358.63
e1fe28df-c5eb-46d0-aeb9-0bf1b04a83d7,2023-12-14,North,Product D,Craig Howard,7,399.2,2794.4
12c30dc7-5b07-4f66-9028-22f5f891e336,2023-07-20,East,Product B,Terry Beck,21,62.28,1307.88
eae7d38d-4e3a-46ea-a1fd-f3d0bfba6777,2023-12-01,East,Product A,Adam Thompson,9,426.86,3841.74
879b2621-24f7-41d2-8a4b-07ed01c52994,2023-08-24,South,Product C,Lisa Murphy,39,375.53,14645.67
dc43057b-3864-4861-8dfe-c9bee969f959,2023-07-14,North,Product D,Alexander Riley,18,210.17,3783.06
3cc32517-3851-4bd6-866d-12d58acb7518,2024-03-30,North,Product A,Hailey Bradley,4,467.14,1868.56
cf8768ce-317c-404b-8f98-f52a47e21889,2024-07-10,South,Product A,Tracy Luna,25,495.56,12389.0
7eb92a29-a137-4b6b-8904-122861d6df31,2023-07-23,East,Product D,Hailey Bradley,14,110.45,1546.3
00484a19-6f7c-477b-b3b3-226a4646b85c,2024-01-31,North,Product D,Kyle Harrison,9,195.82,1762.38
f49ff57d-4365-4e18-a195-120c7d3a367b,2023-05-12,South,Product D,Diana Cox,26,463.96,12062.96
a39b24f3-9781-4215-ae04-644324405778,2024-04-08,North,Product A,Eric Hill,2,363.58,727.16
c8c92e55-96ad-477b-98b3-cab5ea75aab2,2024-04-14,West,Product D,Hailey Bradley,20,33.57,671.4
8f09d75f-b6c9-4741-8877-101c0f566539,2023-03-25,East,Product D,Dr. Jonathan Hall DVM,28,392.94,11002.32
adb432ba-8f84-446c-b988-098f49ccf1e0,2023-04-24,West,Product A,Anthony Lane,47,415.69,19537.43
31ad7887-6cc9-4bfa-8230-684fc591769d,2023-08-06,East,Product A,William Evans,7,377.75,2644.25
b034d2d5-45a0-4fda-a990-575792774b4a,2023-10-11,South,Product C,Anthony Lane,44,401.77,17677.88
7a3e2e5a-c88a-47b6-810f-b06738b3d834,2023-09-17,East,Product B,Craig Howard,8,414.32,3314.56
a52affa0-4e9b-43c0-9c8f-194f9cd97608,2024-12-14,East,Product A,Tracy Luna,47,101.34,4762.98
a6b25ce4-90b3-4d42-96a8-7aab1580dea8,2024-10-25,South,Product B,Christine Sawyer,35,125.49,4392.15
7fbbabbf-cf3c-4c62-afe2-55d5542ae758,2023-01-24,East,Product C,Sherri Hicks,14,320.54,4487.56
e429fe4f-8a9f-4561-9c24-bea0a66aa2ca,2024-10-06,North,Product C,Carrie Davis,17,454.85,7732.45
c83040f5-0a69-4716-b599-ec86d02fdb24,2023-11-21,South,Product D,Aaron Cole,36,164.94,5937.84
2acb0f02-f4df-4bc2-ad48-e5765d2d118d,2023-11-23,South,Product C,Hailey Bradley,40,298.27,11930.8
ce34894b-c722-4eeb-8eab-165ca4313e3e,2023-01-23,South,Product D,David Roberson,4,344.66,1378.64
fc143b66-c3f9-4333-b440-54f46cf83eae,2024-11-25,West,Product D,Christine Sawyer,2,231.45,462.9
20247673-c9f8-4036-a4fb-697be83825df,2024-01-12,West,Product A,Alexander Riley,6,359.75,2158.5
9c1a36d8-7f77-487a-989d-a46138ad1700,2023-05-31,East,Product A,Elizabeth Carter,42,450.84,18935.28
06b04d1c-8eb7-4e58-8ad8-36942a9efd33,2024-07-23,South,Product B,Fernando Smith MD,4,315.81,1263.24
f8b7cf23-cff7-49a6-8cc4-001d3c40a401,2023-08-29,East,Product D,Jason Perkins,29,274.49,7960.21
b559d0b1-8033-4d23-bbd4-cdc190215851,2024-08-24,North,Product D,Tasha Farrell,18,224.98,4049.64
81114be0-7150-4b52-bf1d-f86e950b1be3,2024-03-24,South,Product B,Michael Sanchez,26,292.97,7617.22
4a0611f4-8537-459e-8906-bf2ee8017961,2023-10-29,North,Product D,Paul Martinez,44,184.13,8101.72
52cb4131-cc4f-48f0-b4b0-3b2efb1270c1,2024-07-26,East,Product C,Kathleen Hall,34,201.83,6862.22
f786d8d5-4200-469d-b203-ee96faa9efdd,2024-08-09,West,Product D,Cameron Morgan,10,270.61,2706.1
56318119-dd59-40ec-9bb7-498a5ac56fe3,2024-09-17,East,Product D,Diana Cox,36,42.64,1535.04
46b24538-7631-4a37-8742-7f5eb742329d,2024-04-16,North,Product D,Ralph Downs,14,122.22,1711.08
01539201-7ee8-4845-9cfb-18cb9209ed73,2023-04-24,South,Product A,Mark Shields,31,276.0,8556.0
16a132a4-a0bf-4cd8-8083-521c068d21f1,2024-10-04,East,Product C,Frederick Singh,48,221.45,10629.6
2292a011-1b58-4f63-b756-1c07b8e56408,2024-01-04,South,Product D,April Aguilar,15,173.08,2596.2
8af2af16-61b2-4a28-9479-c2333ffc58a7,2023-03-18,West,Product C,Michael Sanchez,8,367.97,2943.76
9fd394d2-0b7d-4504-b5fe-56f47e269a6c,2023-09-15,West,Product C,Tim Alexander,14,349.92,4898.88
